R4-00293|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|259-264|B|P1|toInstant 使用 ZoneId.systemDefault() 将 LocalDateTime 转 UTC Instant（DTO 声称 UTC 无歧义）|JVM 时区与 DB（Asia/Shanghai）不一致时全部时间戳偏移 8 小时|显式指定 Asia/Shanghai 时区转换|open|batch-2|
R4-01228|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|199|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01229|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|244|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(checkIn.setCreatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01230|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|268|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(benefit.setCreatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01231|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|310|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant.now()));)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01232|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|338|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01233|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|396|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01234|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|424|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(newQuota.setUpdatedAt(LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01235|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|449|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(makeUpCheckIn.setCreatedAt(LocalDateTi)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01236|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|462|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(int affected = makeUpQuotaRepository.i)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01237|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|536|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(return calculateConsecutiveDays(userId)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01238|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|594|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime todayStart = LocalDate.n)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01239|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RealCheckInService.java|640|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime since = LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01240|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|38|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(null, null, null, null, LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01241|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|41|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(null, null, null, null, LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01242|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|44|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(null, null, null, null, LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01243|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|47|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(null, null, null, null, LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01244|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|52|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(null, null, null, null, LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01245|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|59|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(4)),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01246|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|62|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(null, null, null, null, LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01247|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockOfficialAccountService.java|69|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1)))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01248|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewService.java|357|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01249|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\AutoRenewService.java|429|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(logEntry.setCreatedAt(LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01250|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\MockPushSummaryService.java|55|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(summary.setGeneratedAt(LocalDateTime.n)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01251|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\MockPushSummaryService.java|89|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(summary.setGeneratedAt(LocalDateTime.n)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01252|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\MockPushSummaryService.java|108|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(summary.setSentAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01253|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockNotificationService.java|58|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant now = Instant.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01254|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockNotificationService.java|230|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）("系统", null, referenceId, referenceType)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01255|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|61|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now(), LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01256|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|74|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(id, topicId, userId, "Mock校友", null, c)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01257|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|101|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(2).toSt)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01258|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|110|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(5).toSt)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01259|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|119|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1).toStr)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01260|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|138|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(12, List.of(), "upcoming", LocalDate.n)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01261|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|143|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(8, List.of(), "upcoming", LocalDate.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01262|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|148|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(20, List.of(), "ongoing", LocalDate.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01263|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|195|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1), Loca)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01264|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|201|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(2), Loca)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01265|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|207|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(3), Loca)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01266|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|213|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(4), Loca)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01267|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|220|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(5), Loca)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01268|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|227|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(22)),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01269|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|230|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(20)),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01270|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|234|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(18)))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01271|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|240|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1).minus)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01272|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusService.java|243|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1).minus)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01273|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\MockCheckInService.java|61|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01274|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\MockCheckInService.java|100|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01275|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\MockCheckInService.java|150|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01276|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|61|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(2),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01277|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|87|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(existing.setSubmittedAt(LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01278|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|101|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now(),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01279|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|136|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(view.setReviewedAt(LocalDateTime.now())|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01280|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|167|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(existing.setReviewedAt(LocalDateTime.n)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01281|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|180|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusMinutes(5),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01282|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mock\MockCampusCertificationService.java|181|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now())|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01283|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mq\NotificationConsumer.java|128|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().format()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01284|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mq\NotificationConsumer.java|223|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(return LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01285|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mq\MatchEventConsumer.java|238|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(entity.setCreatedAt(createdAt != null )|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01286|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mq\MatchEventConsumer.java|256|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(return LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01287|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mq\CheckInEventConsumer.java|197|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(entity.setCreatedAt(createdAt != null )|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01288|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\mq\CheckInEventConsumer.java|214|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(return LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01289|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\entity\PostTag.java|68|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(this.createdAt = LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01290|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\entity\PostLike.java|71|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(this.createdAt = LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01291|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\media\LocalMediaStorageService.java|252|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String monthSegment = LocalDate.now().)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01292|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\entity\PostFavorite.java|64|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(this.createdAt = LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01293|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\entity\MediaAsset.java|118|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(this.createdAt = LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01294|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\feedback\RealFeedbackService.java|74|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01295|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\feedback\RealFeedbackService.java|165|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(feedback.setUpdatedAt(LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01296|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\feedback\RealFeedbackService.java|303|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(feedback.setUpdatedAt(LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01297|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\RealMatchService.java|254|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01298|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\RealMatchService.java|407|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(userId, userId, java.util.List.of(Sign)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01299|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\RealMatchService.java|432|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01300|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\entity\UserFollow.java|71|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(this.createdAt = LocalDateTime.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01301|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\user\RealOnlineStatusService.java|53|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
